Customer_ID,Customer_Name,Last_Purchase,Frequency,Monetary,Profit,Recency,R_Score,F_Score,M_Score,RFM_Score,Customer_Segment,AOV
DR-12940,Daniel Raglin,2017-11-10,8,8350.868,2869.0759999999996,51,4,4,5,13,Champions,1043.8585
NF-18385,Natalie Fritzler,2017-10-12,7,8322.826,-1695.9714,80,3,4,5,12,Loyal Customers,1188.9751428571428
KD-16270,Karen Daniels,2016-09-02,5,8282.358,1107.6952000000003,485,1,2,5,8,At Risk - High Value,1656.4716
NC-18535,Nick Crebassa,2017-12-24,7,8241.739,1314.758,7,5,4,5,14,Champions,1177.3912857142857
HM-14860,Harry Marie,2017-12-28,10,8236.7648,2437.9836,3,5,5,5,15,Champions,823.6764800000001
KD-16495,Keith Dawkins,2017-09-09,12,8181.256,3038.6254,113,2,5,5,12,Loyal Customers,681.7713333333334
SB-20290,Sean Braxton,2017-11-13,7,8057.891,-2082.7451,48,4,4,5,13,Champions,1151.1272857142856
ZC-21910,Zuschuss Carroll,2017-11-06,13,8025.707,-1032.1490000000001,55,3,5,5,13,Loyal Customers,617.362076923077
JH-15985,Joseph Holt,2017-12-01,6,7954.9980000000005,-644.6982,30,4,3,5,12,Recent Customers,1325.833
NP-18700,Nora Preis,2017-08-14,7,7903.1825,631.2282,139,2,4,5,11,Loyal Customers,1129.0260714285714
AH-10690,Anna Häberlin,2016-11-15,12,7888.294,1298.0166,411,1,5,5,11,Loyal Customers,657.3578333333334
AB-10060,Adam Bellavance,2017-11-06,8,7755.62,2054.5885,55,3,4,5,12,Loyal Customers,969.4525
JE-15610,Jim Epp,2017-11-12,7,7754.976,1623.4019,49,4,4,5,13,Champions,1107.8537142857142
JW-15220,Jane Waco,2017-11-18,6,7721.714,2173.7093999999997,43,4,3,5,12,Recent Customers,1286.9523333333334
LC-16885,Lena Creighton,2017-12-14,12,7663.126,1288.3469,17,5,5,5,15,Champions,638.5938333333334
JM-15865,John Murray,2017-09-12,7,7625.076000000001,1574.6163999999999,110,2,4,5,11,Loyal Customers,1089.2965714285715
JD-15895,Jonathan Doherty,2016-12-01,11,7610.8640000000005,1050.2667999999999,395,1,5,5,11,Loyal Customers,691.8967272727273
PO-18850,Patrick O'Brill,2017-12-26,11,7473.8282,38.47569999999996,5,5,5,5,15,Champions,679.4389272727273
MS-17365,Maribeth Schnelling,2017-04-01,10,7443.6900000000005,844.9354999999998,274,1,5,5,11,Loyal Customers,744.369
RW-19540,Rick Wilson,2017-09-01,7,7397.401,1586.6273,121,2,4,5,11,Loyal Customers,1056.7715714285714
BM-11650,Brian Moss,2017-11-27,11,7294.185,2199.2781,34,4,5,5,14,Champions,663.1077272727273
PP-18955,Paul Prost,2017-09-24,10,7252.608,1495.0854,98,3,5,5,13,Loyal Customers,725.2608
NW-18400,Natalie Webber,2017-07-11,7,7234.014,1023.123,173,2,4,5,11,Loyal Customers,1033.4305714285715
Dp-13240,Dean percer,2017-10-07,11,7198.7609999999995,333.36479999999995,85,3,5,5,13,Loyal Customers,654.4328181818181
FH-14365,Fred Hopkins,2017-12-25,8,6987.196,2050.2826,6,5,4,5,14,Champions,873.3995
RH-19510,Rick Huthwaite,2016-09-19,6,6979.18,1289.4535,468,1,3,5,9,At Risk - High Value,1163.1966666666667
PS-19045,Penelope Sewall,2017-05-08,7,6843.634,1742.7296999999999,237,1,4,5,10,Loyal Customers,977.662
BB-11545,Brenda Bowman,2017-12-02,9,6765.728,1015.0749999999999,29,4,5,5,14,Champions,751.7475555555556
JE-15745,Joel Eaton,2017-11-09,13,6760.8150000000005,221.79670000000002,52,4,5,5,14,Champions,520.0626923076924
YS-21880,Yana Sorensen,2017-12-21,8,6720.4439999999995,1778.2923,10,5,4,5,14,Champions,840.0554999999999
AR-10540,Andy Reiter,2017-12-24,6,6608.448,2884.6208,7,5,3,5,13,Recent Customers,1101.4080000000001
DR-12880,Dan Reichenbach,2017-12-27,9,6528.034000000001,1641.8613,4,5,5,5,15,Champions,725.3371111111112
GK-14620,Grace Kelly,2017-09-09,9,6497.27,1448.5525,113,2,5,5,12,Loyal Customers,721.9188888888889
JA-15970,Joseph Airdo,2017-09-29,8,6491.026,-819.4217000000001,93,3,4,5,12,Loyal Customers,811.37825
NM-18445,Nathan Mautz,2017-07-23,7,6459.344,2751.6848999999997,161,2,4,5,11,Loyal Customers,922.7634285714286
VD-21670,Valerie Dominguez,2016-05-28,6,6442.254,1617.7874000000002,582,1,3,5,9,At Risk - High Value,1073.709
SB-20185,Sarah Brown,2017-06-25,6,6410.996,885.4623999999999,189,2,3,5,10,At Risk - High Value,1068.4993333333334
JG-15160,James Galang,2017-12-29,11,6366.392,1415.6664,2,5,5,5,15,Champions,578.762909090909
DM-13015,Darrin Martin,2017-11-03,7,6345.103,1677.3931,58,3,3,5,11,Potential Loyalists,906.4432857142857
CM-12655,Corinna Mitchell,2017-12-03,6,6339.5576,1572.4585,28,4,3,5,12,Recent Customers,1056.5929333333333
MJ-17740,Max Jones,2017-12-08,7,6320.746,1054.5529000000001,23,5,4,5,14,Champions,902.9637142857143
BH-11710,Brosina Hoffman,2017-12-07,8,6255.351,802.7898,24,5,4,5,14,Champions,781.918875
RL-19615,Rob Lucas,2017-08-31,8,6234.91,488.14840000000004,122,2,4,5,11,Loyal Customers,779.36375
WB-21850,William Brown,2017-12-10,11,6160.102,714.3311,21,5,5,5,15,Champions,560.0092727272727
VW-21775,Victoria Wilson,2017-12-02,10,6134.0380000000005,-874.6645,29,4,5,5,14,Champions,613.4038
SD-20485,Shirley Daniels,2017-06-13,9,6121.114,1985.1671999999999,201,2,5,5,12,Loyal Customers,680.1237777777777
QJ-19255,Quincy Jones,2017-12-05,9,6108.338,1203.6768,26,5,5,5,15,Champions,678.7042222222221
AD-10180,Alan Dominguez,2017-12-01,8,6106.88,1869.9294,30,4,4,5,13,Champions,763.36
CB-12025,Cassandra Brandow,2017-11-13,10,6076.139,150.2089,48,4,5,5,14,Champions,607.6139000000001
GM-14695,Greg Maxwell,2017-09-04,3,6049.966,188.7235,118,2,1,5,8,At Risk - High Value,2016.6553333333334
SC-20380,Shahid Collister,2017-11-30,9,5992.536,236.66149999999996,31,4,5,5,14,Champions,665.8373333333334
KH-16690,Kristen Hastings,2017-12-28,7,5990.799,1227.5091,3,5,4,5,14,Champions,855.8284285714286
RM-19675,Robert Marley,2017-12-24,5,5979.0960000000005,1902.5438000000001,7,5,2,5,12,Recent Customers,1195.8192000000001
KH-16510,Keith Herrera,2017-12-08,7,5952.859,656.1162,23,5,4,5,14,Champions,850.4084285714287
BF-11170,Ben Ferrer,2017-12-14,11,5907.972,1538.2127,17,5,5,5,15,Champions,537.0883636363636
CP-12340,Christine Phan,2017-07-23,8,5888.275,-1850.3029000000001,161,2,4,5,11,Loyal Customers,736.034375
BD-11320,Bill Donatelli,2017-11-27,12,5718.521,1094.5037,34,4,5,5,14,Champions,476.54341666666664
CS-12505,Cindy Stewart,2017-11-02,6,5690.054999999999,-6626.389499999999,59,3,3,5,11,Potential Loyalists,948.3424999999999
AM-10705,Anne McFarland,2017-07-21,8,5664.022,1085.7326,163,2,4,5,11,Loyal Customers,708.00275
RB-19795,Ross Baird,2017-11-28,8,5633.316000000001,-461.73319999999995,33,4,4,5,13,Champions,704.1645000000001
KM-16375,Katherine Murray,2017-11-04,8,5620.186,973.7901999999999,57,3,4,5,12,Loyal Customers,702.52325
AA-10315,Alex Avila,2017-06-29,5,5563.56,-362.8825,185,2,2,5,9,At Risk - High Value,1112.712
SM-20950,Suzanne McNair,2017-12-05,12,5563.392,581.5741999999999,26,5,5,5,15,Champions,463.616
NP-18325,Naresj Patel,2017-12-05,6,5529.62,1208.8890000000001,26,5,3,5,13,Recent Customers,921.6033333333334
AC-10450,Amy Cox,2017-12-19,7,5527.846,1366.0098,12,5,3,5,13,Recent Customers,789.6922857142856
MH-18115,Mick Hernandez,2017-12-25,9,5503.093,170.9746,6,5,5,5,15,Champions,611.4547777777777
DP-13390,Dennis Pardue,2017-01-06,9,5480.723999999999,1571.8318,359,1,5,5,11,Loyal Customers,608.9693333333332
EP-13915,Emily Phan,2017-12-18,17,5478.0608,144.9578,13,5,5,5,15,Champions,322.23887058823533
YC-21895,Yoseph Carroll,2017-12-26,5,5454.35,1305.629,5,5,3,5,13,Recent Customers,1090.8700000000001
SP-20620,Stefania Perrino,2017-11-13,9,5440.319,-270.42819999999995,48,4,5,5,14,Champions,604.4798888888889
LW-17215,Luke Weiss,2017-12-09,7,5420.514,837.2411,22,5,4,5,14,Champions,774.3591428571428
CP-12085,Cathy Prescott,2017-10-09,8,5402.254,427.0258,83,3,4,5,12,Loyal Customers,675.28175
TS-21205,Thomas Seio,2017-06-15,7,5371.09,862.8877,199,2,4,5,11,Loyal Customers,767.2985714285714
TT-21460,Tonja Turnell,2017-12-18,7,5364.808,1124.4999,13,5,4,5,14,Champions,766.4011428571429
MW-18220,Mitch Webber,2017-12-13,7,5341.900000000001,1238.422,18,5,4,5,14,Champions,763.1285714285715
TP-21415,Tom Prescott,2017-09-17,5,5329.0048,-1087.3898,105,2,3,5,10,At Risk - High Value,1065.80096
TW-21025,Tamara Willingham,2017-10-27,7,5278.826,737.3905,65,3,4,5,12,Loyal Customers,754.118
DW-13480,Dianna Wilson,2017-05-27,5,5271.628,1348.7556,218,2,2,5,9,At Risk - High Value,1054.3256
MW-18235,Mitch Willingham,2017-11-16,2,5253.876,1665.516,45,4,1,5,10,Recent Customers,2626.938
HR-14830,Harold Ryan,2017-07-24,7,5248.787,1196.9504,160,2,4,5,11,Loyal Customers,749.8267142857143
SC-20725,Steven Cartwright,2017-06-26,11,5226.21,1276.6513,188,2,5,5,12,Loyal Customers,475.11
RP-19390,Resi Pölking,2017-11-27,12,5153.084,465.25030000000015,34,4,5,5,14,Champions,429.42366666666663
LR-16915,Lena Radford,2017-12-04,6,5142.892,535.4764,27,4,3,5,12,Recent Customers,857.1486666666666
MP-18175,Mike Pelletier,2017-12-14,9,5087.92,226.4529,17,5,5,5,15,Champions,565.3244444444445
AA-10645,Anna Andreadi,2017-11-05,6,5086.9349999999995,857.8033,56,3,3,5,11,Potential Loyalists,847.8224999999999
IL-15100,Ivan Liston,2017-08-10,7,5040.736,1121.937,143,2,4,5,11,Loyal Customers,720.1051428571428
KL-16555,Kelly Lampkin,2017-12-14,8,5016.488,-182.78130000000002,17,5,4,5,14,Champions,627.061
LB-16795,Laurel Beltran,2017-07-31,8,4985.676,-52.19099999999998,153,2,4,5,11,Loyal Customers,623.2095
DH-13075,Dave Hallsten,2017-03-28,6,4932.872,1193.7404,278,1,3,5,9,At Risk - High Value,822.1453333333334
IM-15070,Irene Maddox,2016-12-05,7,4930.474,514.6527,391,1,4,5,10,Loyal Customers,704.3534285714286
TT-21070,Ted Trevino,2017-11-29,7,4915.602,751.9567,32,4,4,5,13,Champions,702.2288571428571
KM-16720,Kunst Miller,2017-12-02,8,4909.472,745.7685,29,4,4,5,13,Champions,613.684
PO-19180,Philisse Overcash,2017-07-23,9,4893.043,1155.4331,161,2,5,5,12,Loyal Customers,543.6714444444444
HK-14890,Heather Kirkland,2017-08-01,8,4877.784,956.9451,152,2,4,5,11,Loyal Customers,609.723
AJ-10780,Anthony Jacobs,2017-10-16,7,4867.344,150.71300000000005,76,3,3,5,11,Potential Loyalists,695.3348571428571
JK-15730,Joe Kamberova,2017-10-07,10,4867.2,55.0483,85,3,5,5,13,Loyal Customers,486.71999999999997
AH-10210,Alan Hwang,2017-12-24,9,4805.344,1308.5546,7,5,5,5,15,Champions,533.9271111111111
DK-13225,Dean Katz,2017-12-20,9,4802.394,209.89940000000004,11,5,5,5,15,Champions,533.5993333333333
RA-19915,Russell Applegate,2017-12-18,9,4793.543,304.8673,13,5,5,5,15,Champions,532.6158888888889
SA-20830,Sue Ann Reed,2017-10-28,10,4767.3415,610.1496000000001,64,3,5,5,13,Loyal Customers,476.73415000000006
JK-15640,Jim Kriz,2017-07-03,9,4760.434,1172.5303,181,2,5,5,12,Loyal Customers,528.9371111111111
BW-11110,Bart Watters,2017-08-31,8,4750.358,921.2574,122,2,4,5,11,Loyal Customers,593.79475
TB-21520,Tracy Blumstein,2017-09-14,9,4737.486,-1603.0451,108,2,5,5,12,Loyal Customers,526.3873333333333
GB-14575,Giulietta Baptist,2017-12-17,5,4716.288,1135.8393,14,5,2,5,12,Recent Customers,943.2575999999999
RB-19465,Rick Bensley,2017-12-21,12,4715.466,640.5466,10,5,5,5,15,Champions,392.95550000000003
ES-14080,Erin Smith,2017-12-02,9,4657.924,246.6661,29,4,5,5,14,Champions,517.5471111111111
DB-13270,Deborah Brumfield,2017-11-07,8,4655.897,841.8263999999999,54,4,4,5,13,Champions,581.987125
KT-16480,Kean Thornton,2017-09-21,10,4642.088400000001,194.0671,101,3,5,5,13,Loyal Customers,464.20884000000007
SC-20050,Sample Company A,2017-11-20,9,4624.572,1011.7443,41,4,5,5,14,Champions,513.8413333333333
EM-14140,Eugene Moren,2017-11-12,6,4588.436000000001,1319.3655,49,4,3,5,12,Recent Customers,764.7393333333334
DB-13060,Dave Brooks,2017-12-14,7,4531.646,473.0272,17,5,3,5,13,Recent Customers,647.3779999999999
AR-10825,Anthony Rawles,2017-11-02,8,4523.336,494.83519999999993,59,3,4,5,12,Loyal Customers,565.417
AG-10900,Arthur Gainer,2017-09-25,10,4510.797,343.6824,97,3,5,5,13,Loyal Customers,451.07969999999995
AJ-10795,Anthony Johnson,2017-07-17,7,4501.391,1158.7064,167,2,3,5,10,At Risk - High Value,643.0558571428571
LC-16930,Linda Cazamias,2017-11-19,8,4492.946,288.26599999999996,42,4,4,5,13,Champions,561.61825
SC-20770,Stewart Carmichael,2017-11-19,7,4492.657,-671.1874,42,4,4,5,13,Champions,641.8081428571429
TP-21130,Theone Pippenger,2017-12-22,9,4454.0560000000005,1129.1261,9,5,5,5,15,Champions,494.8951111111112
MC-17425,Mark Cousins,2016-11-26,5,4432.138,1802.3903,400,1,2,5,8,At Risk - High Value,886.4276
JK-15205,Jamie Kunitz,2017-10-30,5,4427.142,1219.983,62,3,2,5,10,Potential Loyalists,885.4284
KW-16435,Katrina Willman,2017-09-25,5,4416.5199999999995,1756.135,97,3,2,5,10,Potential Loyalists,883.3039999999999
BD-11500,Bradley Drucker,2017-11-25,6,4411.2429999999995,1142.1225,36,4,3,5,12,Recent Customers,735.2071666666666
AI-10855,Arianne Irving,2017-12-17,10,4375.786,867.7271000000001,14,5,5,5,15,Champions,437.5786
SC-20230,Scot Coram,2017-08-03,4,4371.9580000000005,440.14099999999996,150,2,2,5,9,At Risk - High Value,1092.9895000000001
EB-13840,Ellis Ballard,2017-10-01,5,4358.128,656.1988,91,3,2,5,10,Potential Loyalists,871.6256
GZ-14470,Gary Zandusky,2017-12-23,9,4355.150000000001,1087.7539,8,5,5,5,15,Champions,483.9055555555556
SR-20740,Steven Roelle,2017-06-17,8,4345.8859999999995,1990.4243999999999,197,2,4,5,11,Loyal Customers,543.2357499999999
ND-18370,Natalie DeCherney,2017-12-03,9,4326.139,353.64549999999997,28,4,5,5,14,Champions,480.6821111111111
MA-17560,Matt Abelman,2017-10-27,11,4299.161,1240.2266,65,3,5,5,13,Loyal Customers,390.8328181818182
SP-20860,Sung Pak,2017-10-12,10,4282.94,566.7226,80,3,5,5,13,Loyal Customers,428.294
DK-12895,Dana Kaydos,2017-11-15,5,4282.176,937.6496,46,4,2,4,10,Recent Customers,856.4352000000001
RD-19480,Rick Duston,2017-10-19,8,4272.93,480.594,73,3,4,4,11,Loyal Customers,534.11625
TC-21295,Toby Carlisle,2017-12-03,8,4266.812,606.3727,28,4,4,4,12,Champions,533.3515
AS-10225,Alan Schoenberger,2017-12-08,5,4260.784,719.7751000000001,23,5,2,4,11,Recent Customers,852.1568
FH-14275,Frank Hawley,2017-11-23,10,4256.272,1073.2676,38,4,5,4,13,Champions,425.6272
CB-12535,Claudia Bergmann,2017-06-16,8,4246.4555,1049.5601,198,2,4,4,10,Loyal Customers,530.8069375
TH-21550,Tracy Hopkins,2017-10-19,7,4234.0960000000005,-571.9678,73,3,4,4,11,Loyal Customers,604.8708571428572
BE-11335,Bill Eplett,2017-09-02,5,4204.676,1487.7739000000001,120,2,2,4,8,At Risk - High Value,840.9352000000001
JF-15565,Jill Fjeld,2017-11-06,8,4198.332,1073.2088,55,3,4,4,11,Loyal Customers,524.7915
GH-14425,Gary Hwang,2017-11-10,4,4172.8460000000005,1176.4181,51,4,1,4,9,Recent Customers,1043.2115000000001
RS-19765,Roland Schwarz,2017-11-24,8,4159.7699999999995,1206.3851,37,4,4,4,12,Champions,519.9712499999999
MY-18295,Muhammed Yedwab,2017-10-20,11,4152.696,-371.7111,72,3,5,4,12,Loyal Customers,377.5178181818182
PM-19135,Peter McVee,2017-11-09,4,4115.662,526.7537,52,4,2,4,10,Recent Customers,1028.9155
SV-20785,Stewart Visinsky,2017-02-13,9,4105.305,485.0272,321,1,5,4,10,Loyal Customers,456.14500000000004
DM-13345,Denise Monton,2017-12-08,8,4074.4719999999998,1319.0586,23,5,4,4,13,Champions,509.30899999999997
FP-14320,Frank Preis,2017-12-07,8,4046.746,406.44730000000004,24,5,4,4,13,Champions,505.84325
SP-20920,Susan Pistek,2017-10-21,6,3990.689,14.692400000000003,71,3,3,4,10,Potential Loyalists,665.1148333333333
CM-12715,Craig Molinari,2015-03-01,4,3984.4524,176.3108,1036,1,1,4,6,At Risk - High Value,996.1131
MP-17965,Michael Paige,2017-10-19,9,3983.6420000000003,638.1563,73,3,5,4,12,Loyal Customers,442.6268888888889
SC-20305,Sean Christensen,2017-12-01,7,3979.065,229.1617,30,4,4,4,12,Champions,568.4378571428572
SJ-20125,Sanjit Jacobs,2017-09-26,12,3949.656,144.1189,96,3,5,4,12,Loyal Customers,329.138
LF-17185,Luke Foster,2017-12-08,7,3930.5089999999996,-3583.977,23,5,4,4,13,Champions,561.5012857142857
PW-19240,Pierre Wener,2016-09-22,7,3922.4150000000004,1290.354,465,1,4,4,9,Loyal Customers,560.345
GA-14515,George Ashbrook,2017-08-03,8,3919.7760000000003,840.899,150,2,4,4,10,Loyal Customers,489.97200000000004
KH-16630,Ken Heidel,2017-11-02,9,3918.9660000000003,727.3786,59,3,5,4,12,Loyal Customers,435.4406666666667
CC-12220,Chris Cortes,2017-12-10,12,3913.418,393.9618,21,5,5,4,14,Champions,326.1181666666667
DB-13555,Dorothy Badders,2017-09-14,7,3908.8028,109.32700000000001,108,2,3,4,9,At Risk - High Value,558.4004
NP-18670,Nora Paige,2017-11-02,5,3908.402,514.6002,59,3,2,4,9,Potential Loyalists,781.6804
KC-16540,Kelly Collister,2017-09-24,4,3908.262,709.4219,98,3,1,4,8,Potential Loyalists,977.0655
FC-14335,Fred Chung,2017-06-29,7,3889.366,714.2926,185,2,3,4,9,At Risk - High Value,555.6237142857143
BS-11380,Bill Stewart,2017-12-02,5,3887.834,-17.532200000000024,29,4,2,4,10,Recent Customers,777.5668
JS-15880,John Stevenson,2016-07-14,5,3868.02,564.9798000000001,535,1,2,4,7,At Risk - High Value,773.604
RA-19885,Ruben Ausman,2017-11-17,7,3832.314,1292.8656,44,4,4,4,12,Champions,547.4734285714286
AT-10735,Annie Thurman,2017-12-17,10,3831.864,974.107,14,5,5,4,14,Champions,383.1864
OT-18730,Olvera Toch,2017-10-26,5,3818.624,-925.1203,66,3,2,4,9,Potential Loyalists,763.7248
RO-19780,Rose O'Brian,2017-11-25,7,3815.478,-1262.5716000000002,36,4,4,4,12,Champions,545.0682857142857
MC-17845,Michael Chen,2017-12-29,7,3805.714,698.4174,2,5,4,4,13,Champions,543.6734285714285
MM-17920,Michael Moore,2017-12-23,11,3794.0800000000004,82.12499999999997,8,5,5,4,14,Champions,344.91636363636366
CA-11965,Carol Adams,2017-09-25,6,3789.7228,1143.3817,97,3,3,4,10,Potential Loyalists,631.6204666666666
MG-17650,Matthew Grinstein,2017-12-01,7,3785.276,341.898,30,4,4,4,12,Champions,540.7537142857143
MD-17350,Maribeth Dona,2017-09-04,7,3766.382,-241.94999999999996,118,2,4,4,10,Loyal Customers,538.0545714285714
JK-15625,Jim Karlsson,2017-10-30,7,3760.028,750.9485,62,3,4,4,11,Loyal Customers,537.1468571428571
JK-16090,Juliana Krohn,2017-12-02,3,3747.668,586.6625,29,4,1,4,9,Recent Customers,1249.2226666666668
FM-14290,Frank Merwin,2017-11-24,9,3736.198,198.10949999999997,37,4,5,4,13,Champions,415.1331111111111
SC-20260,Scott Cohen,2017-06-26,8,3729.7929999999997,671.0033999999999,188,2,4,4,10,Loyal Customers,466.22412499999996
HG-15025,Hunter Glantz,2017-12-24,7,3690.284,804.6113,7,5,4,4,13,Champions,527.1834285714286
BP-11185,Ben Peterman,2017-12-29,9,3675.861,363.5991,2,5,5,4,14,Champions,408.429
LP-17095,Liz Preis,2017-12-21,7,3653.399,338.44539999999995,10,5,4,4,13,Champions,521.9141428571428
CS-12400,Christopher Schild,2017-12-28,9,3651.8585000000003,-342.80330000000004,3,5,5,4,14,Champions,405.7620555555556
EB-13705,Ed Braxton,2017-11-12,9,3644.978,13.621500000000005,49,4,5,4,13,Champions,404.99755555555555
JP-15520,Jeremy Pistek,2017-12-22,7,3635.594,757.1802,9,5,4,4,13,Champions,519.3705714285715
SZ-20035,Sam Zeldin,2017-11-25,11,3625.329,366.43030000000005,36,4,5,4,13,Champions,329.57536363636365
RH-19495,Rick Hansen,2017-11-28,5,3621.3759999999997,563.7877,33,4,2,4,10,Recent Customers,724.2751999999999
TB-21175,Thomas Boland,2017-11-02,4,3589.296,829.1635,59,3,2,4,9,Potential Loyalists,897.324
GM-14440,Gary McGarr,2017-10-08,7,3582.8199999999997,347.266,84,3,3,4,10,Potential Loyalists,511.83142857142855
DL-13495,Dionis Lloyd,2017-10-15,8,3539.322,-52.78799999999997,77,3,4,4,11,Loyal Customers,442.41525
ES-14020,Erica Smith,2017-11-20,5,3510.4579999999996,1003.2935,41,4,2,4,10,Recent Customers,702.0916
RW-19690,Robert Waldorf,2017-10-12,5,3495.646,707.5503,80,3,2,4,9,Potential Loyalists,699.1292000000001
AG-10675,Anna Gayman,2017-09-24,7,3489.0396000000005,-246.42570000000003,98,3,3,4,10,Potential Loyalists,498.43422857142866
ED-13885,Emily Ducich,2017-08-17,8,3484.92,670.4435000000001,136,2,4,4,10,Loyal Customers,435.615
PW-19030,Pauline Webber,2017-11-14,10,3454.916,803.8169,47,4,5,4,13,Champions,345.4916
SF-20200,Sarah Foster,2017-11-01,9,3422.7859999999996,286.9046,60,3,5,4,12,Loyal Customers,380.3095555555555
FC-14245,Frank Carlisle,2017-10-21,7,3418.742,1217.1662000000001,71,3,3,4,10,Potential Loyalists,488.39171428571433
SH-19975,Sally Hughsby,2017-12-01,13,3406.8395,558.4739999999999,30,4,5,4,13,Champions,262.0645769230769
SG-20080,Sandra Glassco,2017-12-22,3,3406.5809999999997,570.438,9,5,1,4,10,Recent Customers,1135.5269999999998
TS-21655,Trudy Schmidt,2017-05-06,5,3368.094,220.91629999999998,239,1,3,4,8,At Risk - High Value,673.6188
SC-20020,Sam Craven,2015-11-10,5,3362.9636,-317.0508,782,1,2,4,7,At Risk - High Value,672.59272
VP-21760,Victoria Pisteka,2017-10-16,7,3360.526,-1018.7768,76,3,4,4,11,Loyal Customers,480.07514285714285
DJ-13630,Doug Jacobs,2017-12-18,3,3356.398,731.5644,13,5,1,4,10,Recent Customers,1118.7993333333334
DV-13465,Dianna Vittorini,2017-12-01,6,3341.587,353.2127,30,4,3,4,11,Recent Customers,556.9311666666666
SF-20965,Sylvia Foulston,2017-11-12,9,3336.535,539.9352,49,4,5,4,13,Champions,370.7261111111111
DC-12850,Dan Campbell,2017-11-23,9,3336.168,-1441.6312999999998,38,4,5,4,13,Champions,370.68533333333335
AP-10915,Arthur Prichep,2017-09-23,10,3323.556,579.3113,99,3,5,4,12,Loyal Customers,332.3556
